,X,Y,c4f7.d54b.bc2f,1416.9d29.87cf,00fc.ba97.a1cf,c4f7.d52c.dabf,Cellular,00fc.ba99.bdaf
1,180,90,-71,-83,-53,-84,-43,-84
2,180,250,-68,-83,-54,-84,-43,-84
3,357,250,-54,-82,-46,-84,-70,-84
4,600,250,-51,-81,-56,-84,-67,-84
5,600,90,-68,-84,-61,-83,-58,-84
6,775,90,-62,-82,-63,-81,-52,-84
7,775,250,-46,-79,-62,-81,-52,-84
8,1018,250,-42,-75,-63,-79,-46,-80
9,1531,250,-32,-73,-65,-79,-49,-80
10,2098,250,-48,-83,-83,-79,-79,-73
11,2274,250,-52,-84,-83,-77,-82,-71
12,2355,90,-53,-84,-84,-80,-76,-74
13,2557,90,-56,-84,-84,-84,-73,-72
14,2760,90,-54,-84,-84,-84,-76,-71
15,2667,250,-58,-84,-84,-84,-73,-73
16,2962,250,-63,-84,-84,-84,-73,-51
17,380,497,-59,-76,-42,-84,-80,-84
18,570,497,-61,-72,-48,-83,-73,-84
19,775,497,-52,-65,-50,-80,-49,-84
20,937,497,-45,-60,-52,-75,-52,-80
21,1221,497,-34,-57,-54,-70,-52,-80
22,1504,497,-33,-59,-58,-75,-52,-80
23,2287,497,-61,-76,-83,-58,-82,-58
24,2517,497,-67,-75,-80,-58,-82,-57
25,2800,497,-82,-81,-80,-65,-76,-46
26,3003,497,-84,-84,-80,-81,-76,-38
27,380,782,-69,-76,-36,-83,-80,-84
28,570,782,-63,-72,-42,-80,-73,-84
29,775,782,-70,-64,-44,-76,-49,-84
30,937,782,-48,-57,-46,-71,-49,-84
31,1221,782,-39,-50,-49,-64,-49,-80
32,1504,782,-42,-46,-56,-61,-49,-84
33,2287,782,-67,-76,-80,-36,-82,-43
34,2517,782,-70,-75,-80,-51,-82,-46
35,2800,782,-79,-80,-80,-59,-76,-44
36,3003,782,-84,-83,-80,-77,-76,-31
37,180,1100,-76,-73,-43,-79,-43,-84
38,380,1066,-69,-61,-30,-78,-43,-82
39,570,1066,-49,-57,-29,-76,-46,-79
40,775,1066,-47,-51,-35,-69,-46,-75
41,937,1066,-45,-47,-39,-63,-46,-71
42,1221,1066,-42,-44,-44,-57,-46,-64
43,1504,1066,-50,-42,-51,-51,-49,-61
44,2287,1066,-69,-68,-76,-34,-67,-45
45,2517,1066,-73,-74,-80,-39,-70,-37
46,2800,1066,-78,-78,-80,-48,-73,-31
47,3003,1066,-82,-81,-80,-56,-73,-26
48,180,1387,-71,-79,-46,-84,-43,-84
49,362,1387,-70,-73,-44,-84,-43,-84
50,620,1387,-55,-53,-40,-82,-46,-84
51,775,1387,-54,-51,-43,-81,-46,-84
52,937,1387,-52,-48,-45,-79,-49,-80
53,1221,1387,-52,-43,-48,-74,-49,-79
54,1385,1387,-52,-68,-48,-69,-49,-79
55,1504,1387,-55,-38,-51,-68,-49,-76
56,1707,1173,-60,-47,-65,-48,-58,-75
57,1923,1173,-66,-50,-74,-42,-58,-66
58,1707,1480,-66,-42,-67,-51,-58,-77
59,1923,1480,-69,-47,-76,-44,-58,-69
60,2071,1387,-70,-54,-80,-31,-61,-56
61,2179,1173,-74,-66,-82,-41,-64,-58
62,2179,1440,-76,-62,-82,-43,-64,-61
63,2287,1387,-77,-74,-83,-49,-73,-55
64,2517,1387,-77,-78,-83,-52,-73,-50
65,2800,1387,-78,-81,-83,-57,-76,-47
66,3003,1387,-78,-84,-83,-61,-76,-48
67,180,1581,-80,-78,-47,-84,-43,-84
68,380,1581,-82,-69,-46,-83,-46,-84
69,620,1581,-63,-42,-43,-80,-46,-80
70,775,1581,-82,-40,-46,-79,-46,-80
71,937,1581,-82,-38,-48,-76,-46,-80
72,1221,1581,-82,-34,-51,-71,-49,-76
73,1534,1581,-64,-29,-54,-62,-49,-74
74,2095,1581,-85,-62,-80,-38,-64,-57
75,2287,1581,-85,-68,-83,-44,-73,-53
76,2517,1581,-85,-76,-83,-51,-73,-48
77,2800,1581,-85,-80,-83,-58,-76,-45
78,3003,1581,-85,-84,-83,-61,-76,-48
79,180,1867,-85,-74,-48,-84,-43,-84
80,380,1867,-85,-66,-48,-84,-43,-84
81,620,1867,-83,-42,-48,-80,-46,-83
82,775,1867,-82,-39,-49,-80,-46,-82
83,937,1867,-82,-36,-54,-80,-46,-80
84,1221,1867,-82,-32,-59,-73,-46,-78
85,1504,1867,-82,-26,-62,-72,-46,-76
86,1657,1807,-85,-41,-80,-68,-58,-79
87,1748,1807,-85,-45,-80,-64,-58,-79
88,1889,1807,-85,-49,-80,-59,-61,-77
89,1990,1807,-85,-52,-80,-51,-61,-76
90,2065,1867,-85,-48,-80,-50,-61,-74
91,2287,1867,-85,-63,-80,-75,-73,-84
92,180,2099,-85,-76,-54,-84,-43,-84
93,380,2099,-85,-61,-53,-84,-43,-84
94,620,2099,-85,-64,-53,-80,-46,-84
95,775,2099,-85,-52,-56,-80,-46,-84
96,937,2099,-85,-48,-59,-79,-46,-80
97,1221,2099,-85,-45,-63,-73,-46,-77
98,1504,2099,-85,-31,-66,-69,-46,-75
99,1869,2099,-85,-42,-72,-65,-46,-69
100,2065,2099,-85,-45,-82,-56,-46,-72
101,2287,2099,-85,-58,-84,-74,-71,-76
102,1869,1066,-61,-58,-62,-33,-55,-52
103,1707,90,-48,-84,-71,-75,-64,-80
104,1923,90,-64,-84,-76,-76,-64,-78